0,1,2,3,4,5,6,7,8,9,,,,,14,15,16,17,18,19,20,21
13,scene#13(img).png,scene#13(choose).png,NORMAL,MainTheme.mp3,NORMAL,running.mp3,0:06,NORMAL,scene#13.txt,,,,,2,14,15,,FALSE,FALSE,FALSE,2
14,scene#14(img).png,scene#14(choose).png,NORMAL,horror2.mp3,NORMAL,horror.mp3,0:04,NORMAL,scene#14.txt,,,,,1,9,,,FALSE,FALSE,FALSE,1
15,scene#15(img).png,scene#15(choose).png,SHAKE,MainTheme.mp3,NORMAL,break.mp3,0:04,NORMAL,scene#15.txt,,,,,1,16,,,FALSE,FALSE,FALSE,1
16,scene#16(img).png,scene#16(choose).png,NORMAL,MainTheme.mp3,NORMAL,gateopen.mp3,0:03,NORMAL,scene#16.txt,,,,,1,17,,,FALSE,FALSE,FALSE,1
17,scene#17(img).png,scene#17(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#17.txt,,,,,2,18,19,,FALSE,FALSE,FALSE,2
18,scene#18(img).png,scene#18(choose).png,NORMAL,horror2.mp3,NORMAL,horror.mp3,0:04,NORMAL,scene#18.txt,,,,,2,13,4,,FALSE,FALSE,FALSE,2
19,scene#19(img).png,scene#19(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#19.txt,,,,,2,20,21,,FALSE,FALSE,FALSE,2
20,scene#20(img).png,scene#20(choose).png,NORMAL,horror2.mp3,NORMAL,horror.mp3,0:04,NORMAL,scene#20.txt,,,,,2,17,4,,FALSE,FALSE,FALSE,2
21,scene#21(img).png,scene#21(choose).png,NORMAL,MainTheme.mp3,NORMAL,running.mp3,0:06,NORMAL,scene#21.txt,,,,,1,22,,,FALSE,FALSE,FALSE,1
22,scene#22(img).png,scene#22(choose).png,NORMAL,MainTheme.mp3,NORMAL,gateopen.mp3,0:03,NORMAL,scene#22.txt,,,,,2,24,23,,FALSE,FALSE,FALSE,2
23,scene#23(img).png,scene#23(choose).png,NORMAL,horror2.mp3,NORMAL,horror.mp3,0:04,NORMAL,scene#23.txt,,,,,2,19,4,,FALSE,FALSE,FALSE,2
24,scene#24(img).png,scene#24(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#24.txt,,,,,1,25,,,FALSE,FALSE,FALSE,1
25,scene#25(img).png,scene#25(choose).png,NORMAL,MainTheme.mp3,NORMAL,knock.mp3,0:02,NORMAL,scene#25.txt,,,,,2,28,26,,FALSE,FALSE,FALSE,2
26,scene#26(img).png,scene#26(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#26.txt,,,,,2,261,27,,FALSE,FALSE,FALSE,2
27,scene#27(img).png,scene#27(choose).png,NORMAL,horror2.mp3,NORMAL,horror.mp3,0:04,NORMAL,scene#27.txt,,,,,2,25,4,,FALSE,FALSE,FALSE,2
28,scene#28(img).png,scene#28(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#28.txt,,,,,2,30,29,,FALSE,FALSE,FALSE,2
29,scene#29(img).png,scene#29(choose).png,NORMAL,horror2.mp3,NORMAL,horror.mp3,0:04,NORMAL,scene#29.txt,,,,,2,25,4,,FALSE,FALSE,FALSE,2
30,scene#30(img).png,scene#30(choose).png,SHAKE,MainTheme.mp3,NORMAL,break.mp3,0:04,NORMAL,scene#30.txt,,,,,1,31,,,FALSE,FALSE,FALSE,1
31,scene#31(img).png,scene#31(choose).png,NORMAL,MainTheme.mp3,NORMAL,walking.mp3,0:09,NORMAL,scene#31.txt,,,,,1,,,,FALSE,FALSE,FALSE,0
32,scene#32(img).png,scene#32(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#32.txt,,,,,1,,,,FALSE,FALSE,TRUE,0
33,scene#33(img).png,scene#33(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#33.txt,,,,,2,34,35,,FALSE,FALSE,FALSE,2
34,scene#34(img).png,scene#34(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#34.txt,,,,,1,36,,,TRUE,FALSE,FALSE,1
35,scene#35(img).png,scene#35(choose).png,NORMAL,MainTheme.mp3,NORMAL,running.mp3,0:06,NORMAL,scene#35.txt,,,,,1,36,,,FALSE,TRUE,FALSE,1
36,scene#36(img).png,scene#36(choose).png,NORMAL,MainTheme.mp3,NORMAL,gateopen.mp3,0:03,NORMAL,scene#36.txt,,,,,3,37,41,43,FALSE,FALSE,FALSE,3
37,scene#37(img).png,scene#37(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#37.txt,,,,,2,38,39,,,,,2
38,scene#38(img).png,scene#38(choose).png,NORMAL,horror2.mp3,NORMAL,horror.mp3,0:04,NORMAL,scene#38.txt,,,,,2,36,4,,,,,2
39,scene#39(img).png,scene#39(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#39.txt,,,,,2,40,391,,,,,2
40,scene#40(img).png,scene#40(choose).png,NORMAL,horror2.mp3,NORMAL,horror.mp3,0:04,NORMAL,scene#40.txt,,,,,2,37,4,,,,,2
41,scene#41(img).png,scene#41(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#41.txt,,,,,2,411,42,,,,,2
42,scene#42(img).png,scene#42(choose).png,NORMAL,horror2.mp3,NORMAL,horror.mp3,0:04,NORMAL,scene#42.txt,,,,,2,36,4,,,,,2
43,scene#43(img).png,scene#43(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#43.txt,,,,,2,44,45,,,,,2
44,scene#44(img).png,scene#44(choose).png,NORMAL,horror2.mp3,NORMAL,horror.mp3,0:04,NORMAL,scene#44.txt,,,,,2,36,4,,,,,2
45,scene#45(img).png,scene#45(choose).png,NORMAL,MainTheme.mp3,NORMAL,running.mp3,0:06,NORMAL,scene#45.txt,,,,,3,451,47,46,,,,3
46,scene#46(img).png,scene#46(choose).png,NORMAL,horror2.mp3,NORMAL,horror.mp3,0:04,NORMAL,scene#46.txt,,,,,2,43,4,,,,,2
47,scene#47(img).png,scene#47(choose).png,NORMAL,horror2.mp3,NORMAL,horror.mp3,0:04,NORMAL,scene#47.txt,,,,,2,,4,,,,,3
48,scene#48(img).png,scene#48(choose).png,NORMAL,MainTheme.mp3,NORMAL,walking.mp3,0:09,NORMAL,scene#48.txt,,,,,,,,,,,,3
49,scene#49(img).png,scene#49(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#49.txt,,,,,,,,,,,,3
50,scene#50(img).png,scene#50(choose).png,NORMAL,horror2.mp3,NORMAL,,,,scene#50.txt,,,,,,,,,,,,3
51,scene#51(img).png,scene#51(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#51.txt,,,,,,,,,,,,3
52,scene#52(img).png,scene#52(choose).png,NORMAL,horror2.mp3,NORMAL,,,,scene#52.txt,,,,,,,,,,,,3
53,scene#53(img).png,scene#53(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#53.txt,,,,,,,,,,,,3
54,scene#54(img).png,scene#54(choose).png,NORMAL,horror2.mp3,NORMAL,,,,scene#54.txt,,,,,,,,,,,,3
55,scene#55(img).png,scene#55(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#55.txt,,,,,,,,,,,,3
56,scene#56(img).png,scene#56(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#56.txt,,,,,,,,,,,,3
57,scene#57(img).png,scene#57(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#57.txt,,,,,,,,,,,,3
58,scene#58(img).png,scene#58(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#58.txt,,,,,,,,,,,,3
59,scene#59(img).png,scene#59(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#59.txt,,,,,,,,,,,,3
60,scene#60(img).png,scene#60(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#60.txt,,,,,,,,,,,,3
61,scene#61(img).png,scene#61(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#61.txt,,,,,,,,,,,,3
62,scene#62(img).png,scene#62(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#62.txt,,,,,,,,,,,,3
63,scene#63(img).png,scene#63(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#63.txt,,,,,,,,,,,,3
64,scene#64(img).png,scene#64(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#64.txt,,,,,,,,,,,,3
65,scene#65(img).png,scene#65(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#65.txt,,,,,,,,,,,,3
66,scene#66(img).png,scene#66(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#66.txt,,,,,,,,,,,,3
67,scene#67(img).png,scene#67(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#67.txt,,,,,,,,,,,,3
261,scene#261(img).png,scene#261(choose).png,NORMAL,MainTheme.mp3,NORMAL,gateopen.mp3,0:03,NORMAL,scene#261.txt,,,,,,31,,,FALSE,FALSE,FALSE,1
391,scene#391(img).png,scene#391(choose).png,NORMAL,MainTheme.mp3,NORMAL,flamethrower.mp3,0:05,NORMAL,scene#391.txt,,,,,,48,,,,,,3
411,scene#411(img).png,scene#411(choose).png,SHAKE,MainTheme.mp3,NORMAL,gunfire.mp3,0:01,NORMAL,scene#411.txt,,,,,,48,,,,,,3
451,scene#451(img).png,scene#451(img).png,NORMAL,MainTheme.mp3,NORMAL,gateopen.mp3,0:03,NORMAL,scene#451.txt,,,,,,,,,,,,3
