0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17
31|scene#31(img).png|scene#31(choose).png|31|ControlCenter.mp3||walking.mp3|9||scene#31.txt|가||||2|32|33|
32|scene#32(img).png|scene#32(choose).png|32|ControlCenter.mp3|||||scene#32.txt|나||||1|36||
33|scene#33(img).png|scene#33(choose).png|33|ControlCenter.mp3|||||scene#33.txt|가||||2|34|35|
34|scene#34(img).png|scene#34(choose).png|34|ControlCenter.mp3|||||scene#34.txt|나||||1|36||
35|scene#35(img).png|scene#35(choose).png|35|ControlCenter.mp3||running.mp3|6||scene#35.txt|가||||1|36||
36|scene#36(img).png|scene#36(choose).png|36|ControlCenter.mp3||gateopen.mp3|3||scene#36.txt|나||||3|37|41|43
37|scene#37(img).png|scene#37(choose).png|37|ControlCenter.mp3|||||scene#37.txt|가||||2|38|39|
38|scene#38(img).png|scene#38(choose).png|38|horror2.mp3||horror.mp3|4||scene#38.txt|나||||2|36|4|
39|scene#39(img).png|scene#39(choose).png|39|ControlCenter.mp3||alien.mp3|5||scene#39.txt|가||||2|40|81|
40|scene#40(img).png|scene#40(choose).png|40|horror2.mp3||horror.mp3|4||scene#40.txt|나||||2|37|4|
41|scene#41(img).png|scene#41(choose).png|41|ControlCenter.mp3||alien.mp3|5||scene#41.txt|가||||2|82|42|
42|scene#42(img).png|scene#42(choose).png|42|horror2.mp3||horror.mp3|4||scene#42.txt|나||||2|36|4|
43|scene#43(img).png|scene#43(choose).png|43|ControlCenter.mp3|||||scene#43.txt|가||||2|44|45|
44|scene#44(img).png|scene#44(choose).png|44|horror2.mp3||horror.mp3|4||scene#44.txt|나||||2|36|4|
45|scene#45(img).png|scene#45(choose).png|45|ControlCenter.mp3||running.mp3|6||scene#45.txt|가||||3|83|47|46
46|scene#46(img).png|scene#46(choose).png|46|horror2.mp3||horror.mp3|4||scene#46.txt|나||||2|43|4|
47|scene#47(img).png|scene#47(choose).png|47|horror2.mp3||horror.mp3|4||scene#47.txt|가||||2|43|4|
48|scene#48(img).png|scene#48(choose).png|48|AlienHive.mp3||walking.mp3|9||scene#48.txt|나||||3|49|51|53
49|scene#49(img).png|scene#49(choose).png|49|AlienHive.mp3|||||scene#49.txt|가||||2|50|55|
50|scene#50(img).png|scene#50(choose).png|50|horror2.mp3||horror.mp3|4||scene#50.txt|나||||2|48|4|
51|scene#51(img).png|scene#51(choose).png|51|AlienHive.mp3||alien.mp3|5||scene#51.txt|가||||2|52|55|
52|scene#52(img).png|scene#52(choose).png|52|horror2.mp3||horror.mp3|4||scene#52.txt|나||||2|48|4|
53|scene#53(img).png|scene#53(choose).png|53|AlienHive.mp3||running.mp3|6||scene#53.txt|가||||2|54|58|
54|scene#54(img).png|scene#54(choose).png|54|horror2.mp3||horror.mp3|4||scene#54.txt|나||||2|48|4|
55|scene#55(img).png|scene#55(choose).png|55|AlienHive.mp3||walking.mp3|9||scene#55.txt|가||||2|57|56|
56|scene#56(img).png|scene#56(choose).png|56|horror2.mp3||horror.mp3|4||scene#56.txt|나||||2|55|4|
57|scene#57(img).png|scene#57(choose).png|57|AlienHive.mp3||alien.mp3|5||scene#57.txt|가||||1|59||
58|scene#58(img).png|scene#58(choose).png|58|AlienHive.mp3||flare.mp3|4||scene#58.txt|나||||1|59||
59|scene#59(img).png|scene#59(choose).png|59|AlienHive.mp3||walking.mp3|9||scene#59.txt|가||||1|60||
60|scene#60(img).png|scene#60(choose).png|60|horror2.mp3||break.mp3|4||scene#60.txt|나||||3|61|62|63
61|scene#61(img).png|scene#61(choose).png|61|MainTheme.mp3|||||scene#61.txt|가||||1|65||
62|scene#62(img).png|scene#62(choose).png|62|MainTheme.mp3|||||scene#62.txt|나||||1|65||
63|scene#63(img).png|scene#63(choose).png|63|MainTheme.mp3|||||scene#63.txt|가||||1|64||
64|scene#64(img).png|scene#64(choose).png|64|SadEnding.mp3||gunfire.mp3|1||scene#64.txt|나|||||79||
65|scene#65(img).png|scene#65(choose).png|65|MainTheme.mp3||gateopen.mp3|3||scene#65.txt|가||||1|80||
66|scene#66(img).png|scene#66(choose).png|66|SadEnding.mp3||booster.mp3|12||scene#66.txt|나|||||||
67|scene#67(img).png|scene#67(choose).png|67|HappyEnding.mp3||booster.mp3|12||scene#67.txt|가|||||||
68|scene#68(img).png|scene#68(choose).png|68|RealEnding.mp3||gateopen.mp3|3||scene#68.txt|나||||1|69||
69|scene#69(img).png|scene#69(choose).png|69|RealEnding.mp3|||||scene#69.txt|가||||1|70||
70|scene#70(img).png|scene#70(choose).png|70|RealEnding.mp3|||||scene#70.txt|나||||1|71||
71|scene#71(img).png|scene71(choose).png|71|RealEnding.mp3||break.mp3|4||scene#71.txt|가|||||||
72|scene#201(img).png|scene#201(choose).png|201|MainTheme.mp3|||||scene#201.txt|나||||1|2||
73|scene#202(img).png|scene#202(choose).png|202|MainTheme.mp3|||||scene#202.txt|가||||1|3||
74|scene#203(img).png|scene#203(choose).png|203|MainTheme.mp3||alien.mp3|4||scene#203.txt|나||||1|4||
75|scene#222(img).png|scene#222(choose).png|222|ControlCenter.mp3|||||scene#204.txt|가||||2|24|23|
76|scene#231(img).png|scene#231(choose).png|231|ControlCenter.mp3|||||scene#231.txt|나||||1|31||
77|scene#232(img).png|scene#232(choose).png|232|ControlCenter.mp3|||||scene#232.txt|가||||1|36||
78|scene#234(img).png|scene#234(choose).png|234|ControlCenter.mp3|||||scene#234.txt|나||||2|34|35|
79|||265||||||scene#265.txt|가|||||||
80|||266||||||scene#266.txt|나|||||267||
81|scene#391(img).png|scene#391(choose).png|391|MainTheme.mp3||flamethrower.mp3|0:05||scene#391.txt|가|||||48||
82|scene#411(img).png|scene#411(choose).png|411|MainTheme.mp3||gunfire.mp3|0:01||scene#411.txt|나|||||48||
83|scene#451(img).png|scene#451(img).png|451|MainTheme.mp3||gateopen|0:03||scene#451.txt|가|||||||
